epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,548.029,1.41433,1.18461,1.51425,0.71303,0.57747,0.67248,0.40336,1.41351,1.22488,1.5212,0.0011882,0.0011882,0.0011882
43,560.917,1.41517,1.19622,1.53091,0.69954,0.58465,0.64853,0.38867,1.43196,1.23845,1.54149,0.0011684,0.0011684,0.0011684
44,573.653,1.42096,1.19368,1.51936,0.73141,0.57963,0.67733,0.41244,1.38484,1.20707,1.50344,0.0011486,0.0011486,0.0011486
45,586.557,1.41765,1.17817,1.50831,0.7202,0.60617,0.68647,0.41351,1.39366,1.1659,1.51611,0.0011288,0.0011288,0.0011288
46,599.589,1.39967,1.16305,1.50827,0.7356,0.58034,0.69097,0.42184,1.36537,1.21995,1.49762,0.001109,0.001109,0.001109
47,612.349,1.39392,1.16344,1.51489,0.69603,0.57819,0.66022,0.39007,1.43091,1.23199,1.53728,0.0010892,0.0010892,0.0010892
48,625.151,1.41177,1.18855,1.5126,0.74711,0.59552,0.69548,0.42653,1.36173,1.14508,1.48641,0.0010694,0.0010694,0.0010694
49,637.919,1.38756,1.16394,1.4893,0.6943,0.61098,0.6812,0.4096,1.39104,1.17855,1.50836,0.0010496,0.0010496,0.0010496
50,650.617,1.39952,1.158,1.49782,0.70346,0.60258,0.67515,0.41269,1.38037,1.14445,1.49713,0.0010298,0.0010298,0.0010298
51,663.321,1.37847,1.11979,1.48606,0.72458,0.60689,0.69401,0.42275,1.36913,1.14641,1.49209,0.00101,0.00101,0.00101
52,676.088,1.37343,1.12368,1.48556,0.72106,0.59469,0.68231,0.42598,1.36606,1.14843,1.49187,0.0009902,0.0009902,0.0009902
53,689.13,1.37841,1.12016,1.48086,0.73768,0.60115,0.69129,0.4228,1.38937,1.12936,1.50389,0.0009704,0.0009704,0.0009704
54,701.831,1.3469,1.09705,1.47018,0.73549,0.59326,0.68982,0.428,1.3754,1.15096,1.48287,0.0009506,0.0009506,0.0009506
